Model;Table;Column/Measure;Script;Extra Parameters
TAB_Programmatic_Insights;F_Programmatic;Clicks;M_Summarization;Numeric
TAB_Programmatic_Insights;F_Programmatic;Impressions;M_Summarization;Numeric
TAB_Programmatic_Insights;F_Programmatic;Revenue;M_Summarization;Numeric
TAB_Programmatic_Insights;F_Programmatic;Date;M_Summarization;Non-Numeric
TAB_Programmatic_Insights;N/A;CTR;M_Custom;DIVIDE([M_Clicks], [M_Impressions])
TAB_Programmatic_Insights;N/A;eCPM;M_Custom;DIVIDE([M_Revenue] * 1000, [M_Impressions])
TAB_Programmatic_Insights;N/A;MIN_Date_All;M_Custom;CALCULATE([M_MIN_Date], ALL(D_Date))^^dd/MM/yyyy
TAB_Programmatic_Insights;N/A;MAX_Date_All;M_Custom;CALCULATE([M_MAX_Date], ALL(D_Date))^^dd/MM/yyyy
TAB_Programmatic_Insights;N/A;Revenue_%_TransactionType;M_Custom;DIVIDE( [M_Revenue], CALCULATE ( [M_Revenue], ALL ( F_Programmatic[Transaction Type] )))^^Percent
TAB_Programmatic_Insights;N/A;Revenue_%_FormatType;M_Custom;DIVIDE( [M_Revenue], CALCULATE ( [M_Revenue], ALL ( F_Programmatic[Format Type] )))^^Percent
TAB_Programmatic_Insights;N/A;Revenue_%_TransactionType_PY;M_Custom;DIVIDE( [M_Revenue_PY], CALCULATE ( [M_Revenue_PY], ALL ( F_Programmatic[Transaction Type] )))^^Percent
TAB_Programmatic_Insights;N/A;Revenue_%_FormatType_PY;M_Custom;DIVIDE( [M_Revenue_PY], CALCULATE ( [M_Revenue_PY], ALL ( F_Programmatic[Format Type] )))^^Percent
TAB_Programmatic_Insights;N/A;Clicks;M_Analytics;
TAB_Programmatic_Insights;N/A;Impressions;M_Analytics;
TAB_Programmatic_Insights;N/A;Revenue;M_Analytics;PY
TAB_Programmatic_Insights;N/A;eCPM;M_Analytics;
TAB_Programmatic_Insights;N/A;CTR;M_Analytics;
TAB_Programmatic_Insights;N/A;Date;M_Analytics;
TAB_Programmatic_Insights;F_Programmatic;M_Revenue;M_Functional;Cards
TAB_Programmatic_Insights;F_Programmatic;M_Impressions;M_Functional;Button^^Numeric
TAB_Programmatic_Insights;F_Programmatic;M_Revenue;M_Functional;Button^^Valuta
TAB_Programmatic_Insights;F_Programmatic;M_CTR;M_Functional;Button^^Percent
TAB_Programmatic_Insights;F_Programmatic;M_eCPM;M_Functional;Button^^Valuta
TAB_Inventory_Insights;A_Inventory;Ad_Exchange_Clicks;M_Summarization;Numeric
